,AOD,AOD_available,LST_C,LST_available,NO2,NO2_available,climate_available,dewpoint,month,pressure,rainfall_mm,temperature,wind_speed,year,pm25_mean,pm25_max,pm10_mean,no2_ground,so2_mean,co_mean,ozone_mean,aqi_mean,observations,ground_pollution_imputed,month_sin,month_cos,winter_flag,monsoon_flag,temperature_anomaly,rainfall_anomaly,wind_anomaly,PM25_lag_1,PM25_lag_3,PM25_lag_6,PM25_lag_12
ozone_mean,0.38130889084841496,0.14226502961275067,0.37416090361429377,0.0815798966765764,-0.08209938724140262,0.27202811094869167,,0.16007098610770817,-0.3176385826958456,-0.18865686172535728,0.17496578069358523,0.32728068701561086,0.1437028129420649,0.2897110230782078,-0.1825185925657395,-0.11050746370678072,-0.22921312132853006,0.03810100487273884,-0.3006480851311827,0.2845768382414678,1.0,-0.18037352066987564,0.22985661697007242,0.0919202006958708,0.4825209892401578,-0.33539468568307856,-0.25916473613866703,-0.14365764866749547,0.13420685045968075,-0.04582112555811052,0.0018684921704784849,-0.0996120434773811,0.0839244617817045,-0.14045779978554684,-0.15506574018219635
aqi_mean,0.3418326640594288,0.040668856809910565,-0.14168977088133713,0.10896630485722181,0.3209759554729832,0.17870316973388653,,-0.27958968638945436,-0.14392571431425713,0.3142227755129553,-0.2638185298593774,-0.2680191799990353,-0.15854051361408406,0.4476291053948397,0.9992026606951827,0.942908954393999,0.9891813937040619,0.8064215842673655,0.9012433238143874,0.45653068501837774,-0.18037352066987564,1.0,-0.2511092365819865,-0.04533050993221026,0.16136183450769578,0.2490469221404016,0.366167268706463,-0.19068797715927144,0.02870480480845352,-0.026239296002408742,-0.03809606218929891,0.9256164503379494,0.7461653887934062,0.6905370656540888,0.8596340914492538
observations,0.08165326120107987,-0.10079278947685255,-0.04765735458757349,-0.10469836027539485,-0.06422688348760906,0.385276046414477,,0.05586511581297278,0.1101297156474189,-0.023886179501167195,0.0039978235832101305,0.046236007086839136,0.021745040752764778,0.36909879364860626,-0.2536596540607122,-0.10810424097090394,-0.30724721025910956,-0.01783981684470329,-0.3186578094262062,0.3697041864536517,0.22985661697007242,-0.2511092365819865,1.0,0.07942332286208185,-0.09672824366472488,0.04729441729166059,-0.03230898611710523,-0.03755891340021766,0.1754631622196975,-0.02754992012694548,-0.0058880241359338375,-0.24524230634754238,-0.17708825229326955,-0.11273259528924898,-0.08720193979672808
ground_pollution_imputed,-0.038582197150854855,0.023279327583540507,-0.09646385544722393,0.022056017029076454,0.05216720300383332,0.08836804482327783,,-0.06831055335857061,0.09034520325219368,0.07964317972220446,-0.09538293856058479,-0.07145850512624669,-0.007869879419190163,0.09450799618729044,-0.03903460577495883,-0.01511215696466663,-0.08310593487571881,0.006295904157251425,-0.04784887159511083,0.08877224861724509,0.0919202006958708,-0.04533050993221026,0.07942332286208185,1.0,-0.00822759680152401,0.09050356481676411,0.09821559067074767,-0.04009634698823127,0.011647421540401442,-0.024239228611105702,0.06956973406564104,-0.0392232270276368,-0.09262475278117518,-0.09561226714627197,0.0023372449562598925
month_sin,0.4339865976860755,0.25415141752848175,0.036837640622857784,0.22574621086250893,0.27982836866977867,-0.03581000705183517,,-0.4220315586927531,-0.7705791151721808,0.24385250409717565,-0.27779678092896326,-0.15399879168056965,-0.05227439285747149,0.0,0.15430861170082522,0.1430737637573812,0.14738447423083,0.05222792729977738,0.207021899867254,0.002225431207731493,0.4825209892401578,0.16136183450769578,-0.09672824366472488,-0.00822759680152401,1.0,0.0,0.2792359388611303,-0.5129891760425771,0.017679525992096247,0.04383737607269192,-0.038926970342994624,0.2732470048159532,0.25982151322381003,-0.12253167246868436,0.15029678671708263
month_cos,-0.10896609664675698,0.4116723481841553,-0.6741442390840244,0.39505586900939066,0.7988436153270397,-0.004092572234495448,,-0.8565121060440763,0.15411582303443616,0.9363436338956534,-0.8286503296850368,-0.8592074076117966,-0.7723897820185996,0.0,0.2502396706531301,0.2910224308006431,0.21707506590310832,0.12772735913144764,0.4055861284624333,0.016879198649824248,-0.33539468568307856,0.2490469221404016,0.04729441729166059,0.09050356481676411,0.0,1.0,0.6701662532667128,-0.6668859288553503,0.001993077404482813,0.10088276250980621,0.008896560538662918,0.12913178481588392,-0.13833239356456364,-0.2617255319057533,0.2392395120907545
winter_flag,0.2765865188642557,0.21595404431932297,-0.7297572700556996,0.20265835957124254,0.6048256737170244,-0.012213602862114535,,-0.7477849060385156,-0.2508726030021272,0.7219793823000724,-0.6526167643534292,-0.7454015933365574,-0.3480458376825051,0.0,0.3660029022969887,0.40196981484537353,0.33814279589108787,0.09964713574381918,0.6035123639874113,0.010889274627675086,-0.25916473613866703,0.366167268706463,-0.03230898611710523,0.09821559067074767,0.2792359388611303,0.6701662532667128,1.0,-0.40824829046386296,0.014957341784702696,0.10494794208277661,0.01824466964947252,0.21898712302812293,-0.13150811848480493,-0.13528756758610969,0.3602242234734672
monsoon_flag,-0.13551214446692472,-0.5612319247942331,0.2751460713017094,-0.5299507604278767,-0.6807622710701595,0.024930912444314012,,0.7851723889635338,0.20483662259967567,-0.763657714330844,0.6508000351172604,0.5744040676496037,0.7197979741147289,0.0,-0.1876683734037802,-0.19781005458556022,-0.1627566424209775,-0.1352782482460073,-0.2751613922191387,-0.01509801877745617,-0.14365764866749547,-0.19068797715927144,-0.03755891340021766,-0.04009634698823127,-0.5129891760425771,-0.6668859288553503,-0.40824829046386296,1.0,-0.013437235384627344,-0.07420675496117236,0.023175456534160647,-0.1657995207047314,-0.12084969139030752,0.31241523158752627,-0.17718074240150863
temperature_anomaly,0.08540456348938298,0.12818538781860464,0.12659555096788377,0.02375244013352398,-0.1704411530498487,0.21972854165072558,,0.11112608152456935,-0.02248339733643673,-0.02946914913877099,-0.2012728187953936,0.3214031430492809,0.033520643497734814,0.2740529925329933,0.02988184819518547,0.11412321755657757,0.004582329868285944,0.0916298050381136,0.010903752206092094,0.275173501786063,0.13420685045968075,0.02870480480845352,0.1754631622196975,0.011647421540401442,0.017679525992096247,0.001993077404482813,0.014957341784702696,-0.013437235384627344,1.0,-0.43931688027822313,0.05266705598521959,0.05625214428761779,0.03487987114670484,0.03381067704488748,0.07337237080412004
rainfall_anomaly,0.06217969703171238,-0.09810157890345207,-0.22098192482702417,0.02512176040729698,0.22841216754260232,-0.11888750774866445,,-0.09796959048060822,-0.06648116892374163,0.10818090511031965,0.3033428977153744,-0.3182505320203973,-0.09250833096923725,-0.08427800916532822,-0.026147234535772775,-0.03690095405152995,-0.021398364289001597,-0.047237212667223416,0.006777976091874216,-0.08408866704577858,-0.04582112555811052,-0.026239296002408742,-0.02754992012694548,-0.024239228611105702,0.04383737607269192,0.10088276250980621,0.10494794208277661,-0.07420675496117236,-0.43931688027822313,1.0,-0.05846653269683174,-0.04259572498863029,-0.08706830282151297,-0.07012942411973067,-0.07117767975199725
