,AOD,AOD_available,LST_C,LST_available,NO2,NO2_available,climate_available,dewpoint,month,pressure,rainfall_mm,temperature,wind_speed,year,pm25_mean,pm25_max,pm10_mean,no2_ground,so2_mean,co_mean,ozone_mean,aqi_mean,observations,ground_pollution_imputed,month_sin,month_cos,winter_flag,monsoon_flag,temperature_anomaly,rainfall_anomaly,wind_anomaly,PM25_lag_1,PM25_lag_3,PM25_lag_6,PM25_lag_12
ground_pollution_imputed,-0.03686642931437328,0.023279327583540493,-0.11432721628157265,0.022056017029076468,0.03596812316073848,0.08836804482327786,,-0.0788135215315912,0.09034520325219378,0.07373914337720124,-0.060391935162190935,-0.08735843731900941,-0.021876431715346985,0.0945079961872907,-0.04008444637888256,-0.0197791735008979,-0.06733892234728793,0.004434982887003628,-0.03824621403445572,0.15640049609795284,0.13311927861166753,-0.030731725360306376,0.06528942226929345,1.0,-1.9214592552148594e-17,0.08019269397646252,0.09821559067074769,-0.04009634698823128,0.008281277405002115,-0.011683379083916232,0.05208208235515361,-0.04024588895644789,-0.0824712101369546,-0.08591536013878807,-0.006165262299156704
month_sin,0.43841934713351094,0.33359633945096717,-0.07780062554233924,0.2843776479635078,0.40611637461248173,-0.03721737276849244,,-0.4942037478219845,-0.7644606827928017,0.343957726921681,-0.3360299704729688,-0.27610336968717425,-0.19470768287016016,-3.121603067637671e-15,0.20858762279776963,0.19642124608993042,0.19836737872747157,0.0907582917986064,0.2929802920188173,0.017023957294429685,0.4774290066975061,0.2311444901209336,-0.06184916896426984,-1.9214592552148594e-17,1.0,-2.609387913885782e-17,0.37178502388347,-0.5915063509461094,1.2085284508612667e-15,-5.173062377927596e-17,-6.601735489239123e-17,0.3188152471299809,0.28301309832653776,-0.19105801434780514,0.2052255434802751
month_cos,-0.13634262652804577,0.3817468235466401,-0.6520620014584099,0.3567233708314998,0.7233193586799365,-6.642929524941902e-18,,-0.8088178745260317,0.2048366225996755,0.9139275172391741,-0.7641954635257887,-0.8390943919077558,-0.7760188893473298,1.2646625068918301e-15,0.27210682880407216,0.293967301844459,0.2445782048782527,0.1819107906755989,0.4505417699568143,0.1529260818261291,-0.409032371735477,0.2924422270048353,0.00435782751800921,0.08019269397646252,-2.609387913885782e-17,1.0,0.6439505508593786,-0.5915063509461097,9.229947711772059e-16,-1.1804507779951292e-16,2.769886092891536e-16,0.1345742610505881,-0.20450916821566487,-0.27714021225830376,0.2652353713011017
winter_flag,0.2860657989303453,0.21595404431932283,-0.7758304057489954,0.20265835957124242,0.6044779088968812,-0.012213602862114254,,-0.8314437927695572,-0.2508726030021275,0.7011489011320186,-0.566509842521568,-0.8762997224976928,-0.3796457432048686,3.1906936425916676e-16,0.4232345181220824,0.42966035971773053,0.3944868801703737,0.13418850828531598,0.6702846261313605,0.09497750595989732,-0.30755805442688855,0.42122519935070435,-0.032872559055810664,0.09821559067074769,0.37178502388347,0.6439505508593786,1.0,-0.4082482904638626,6.699163393068887e-16,-4.585229823799842e-17,1.1853415160065823e-16,0.24248424412346106,-0.14985064337158988,-0.15704098914816167,0.4217687245175464
monsoon_flag,-0.11562238640835314,-0.5612319247942329,0.2687362674207921,-0.5299507604278763,-0.6271523560844903,0.024930912444313974,,0.6678424397894231,0.20483662259967567,-0.7740825753928303,0.64507191836607,0.5401655654060337,0.748924333905295,1.061221466946158e-15,-0.21076006751770993,-0.21254143926150387,-0.19089402371226966,-0.18373645676777528,-0.32728012977952176,-0.11454395626299449,-0.1613053609104481,-0.250964140701318,0.016327868679210378,-0.04009634698823128,-0.5915063509461094,-0.5915063509461097,-0.4082482904638626,1.0,-1.0203580496817455e-15,1.6596507600817445e-16,-1.436154766812734e-17,-0.1890281897651803,-0.14292877706922624,0.35888403089321835,-0.20330013735987207
temperature_anomaly,0.08265128972365555,0.10270087062899744,0.1516832533643045,0.0017879359138392018,-0.24310360934464934,0.19419376369511174,,0.0632426868674723,-7.274842623613409e-16,-0.04657054115986706,-0.231901469593785,0.21670487591234144,0.06413596445665555,0.2347591253736443,-0.03306057368889199,0.05664017240248057,-0.04631388579815122,0.017011894244556323,-0.08152290559509451,0.18274309509144782,0.14015369888056964,-0.04064065864025207,0.24705553888678308,0.008281277405002115,1.2085284508612667e-15,9.229947711772059e-16,6.699163393068887e-16,-1.0203580496817455e-15,1.0,-0.4505345550259869,0.1501799791447737,-0.003923909967914447,-0.012477240932336701,0.018873668926021527,0.01012784138571252
rainfall_anomaly,0.03892741844333985,-0.15322817320686918,-0.18073376467264785,-0.05294672516156279,0.14273716712825496,-0.13731401448634964,,0.0173387225475167,-2.6918784911110233e-17,-0.005105096116579229,0.5147251570535092,-0.09763303484112869,-0.004809643630948569,-0.1264848303870761,-0.04954592134388473,-0.08175129883631128,-0.046674763739578004,-0.050652302804000585,-0.0015114761578085673,-0.03771888228663211,-0.017575335186037835,-0.04213560564941605,-0.05957782890280857,-0.011683379083916232,-5.173062377927596e-17,-1.1804507779951292e-16,-4.585229823799842e-17,1.6596507600817445e-16,-0.4505345550259869,1.0,-0.011262201891074693,-0.08559825271029672,-0.0918642099674162,-0.08048306362455061,-0.1063671578383527
wind_anomaly,-0.09665924158546686,-0.06393398755367269,-0.032847531122207625,-0.05050445473476406,0.04151611164012342,-0.0947362470553797,,0.006498845209899432,-7.443364559469948e-17,-0.06684973903946051,-0.005796938637151942,0.03254473374508609,0.4270606829345032,-0.07720592872310068,-0.043617632195928055,-0.06466778000423858,-0.04037009304372266,-0.07666973160337928,-0.017499655412754424,-0.041462934182956,1.0551989648507874e-05,-0.015509381556820662,-0.050035734771258215,0.05208208235515361,-6.601735489239123e-17,2.769886092891536e-16,1.1853415160065823e-16,-1.436154766812734e-17,0.1501799791447737,-0.011262201891074693,1.0,-0.049635405778195064,-0.08046152922238463,-0.06630654386458719,-0.0878547364169519
PM25_lag_1,0.30386293033412176,0.02920728655572493,-0.02753944687585177,0.10434404900180382,0.34698895702972077,0.24071268835215875,,-0.2960499069582652,-0.34077385928055176,0.256750275806074,-0.26488119639682245,-0.22645980928050424,-0.15275276044242345,0.4556116043375636,0.9019475410211322,0.8545146152975188,0.9011346667723791,0.5810978269169799,0.7461939982415532,-0.2536303023069422,-0.13702565547896267,0.8747811455169053,-0.35371750765888943,-0.04024588895644789,0.3188152471299809,0.1345742610505881,0.24248424412346106,-0.1890281897651803,-0.003923909967914447,-0.08559825271029672,-0.049635405778195064,1.0,0.7834276131148153,0.6379382735991946,0.7900808505855661
PM25_lag_3,0.2357006791758422,0.021786343804768092,0.3372079198663562,0.051669156966895724,-0.00104963631353074,0.2605440278284656,,0.08584880489980622,-0.21232218011341622,-0.04024060264563003,0.0077653461832780666,0.17316733655838584,-0.00936992331027459,0.4651517733288661,0.677917958292831,0.6381136016302352,0.6943466406711823,0.4929954864825525,0.42537281815441863,-0.28861746840759445,0.09838722375613779,0.6459327408652921,-0.29208914767781236,-0.0824712101369546,0.28301309832653776,-0.20450916821566487,-0.14985064337158988,-0.14292877706922624,-0.012477240932336701,-0.0918642099674162,-0.08046152922238463,0.7834276131148153,1.0,0.6759641711651935,0.6133235199866126
